Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6998499,The Challenge for Africa,Wangari Maathai,"Maathai, Wangari",,"=""0307390284""","=""9780307390288""",3,4.02,Anchor Books,Paperback,319,2010,2009,,2020/01/06,,,read,,,,1,,,0,,,,,
8908128,De la démocratie en Amérique,Alexis de Tocqueville,"Tocqueville, Alexis de",,"=""2081220873""","=""9782081220874""",3,4.03,Editions Flammarion,Mass Market Paperback,301,2010,1835,,2020/01/06,,,read,,,,1,,,0,,,,,
92967,L'Assommoir,Émile Zola,"Zola, Émile",Robin Buss,"=""0140447539""","=""9780140447538""",4,4.03,Penguin Books Ltd,Paperback,480,2001,1876,,2020/01/04,,,read,,,,1,,,0,,,,,
30197119,Liminal Thinking,Dave  Gray,"Gray, Dave",,"=""""","=""""",2,4.04,Rosenfeld Media,Paperback,224,2016,2016,2020/10/05,2020/10/05,,,read,,,,1,,,0,,,,,
2265534,"Histoire du XXe siècle, tome 1 : La fin du monde européen 1900-1945",Serge Berstein,"Berstein, Serge",Pierre Milza,"=""2218715643""","=""9782218715648""",3,4.03,Hatier,Paperback,501,1994,1984,,2020/01/06,childhood,childhood (#70),read,,,,1,,,0,,,,,
15638,Cyrano de Bergerac,Edmond Rostand,"Rostand, Edmond","Eteel Lawson, Lowell Bair","=""0451528921""","=""9780451528926""",5,4.06,Signet Classics,Paperback,240,2003,1897,,2020/05/27,,,read,,,,1,,,0,,,,,
15799334,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"Acemoğlu, Daron",James A. Robinson,"=""0307719227""","=""9780307719225""",3,4.07,Crown Business,Paperback,529,2013,2012,,2020/01/06,,,read,,,,1,,,0,,,,,
1021324,Hannah,Jean-Claude Mourlevat,"Mourlevat, Jean-Claude",,"=""2266123130""","=""9782266123136""",4,4.08,Pocket Jeunesse,Mass Market Paperback,160,2002,2002,,2020/01/06,,,read,,,,1,,,0,,,,,
21101008,"China's War with Japan, 1937-1945: The Struggle for Survival",Rana Mitter,"Mitter, Rana",,"=""014103145X""","=""9780141031453""",5,4.10,Penguin,Paperback,480,2014,2013,,2020/01/06,,,read,,,,1,,,0,,,,,
25619990,Primavera con una esquina rota,Mario Benedetti,"Benedetti, Mario",,"=""8490626766""","=""9788490626764""",3,4.11,DeBolsillo,Paperback,224,2015,1982,,2020/01/06,childhood,childhood (#64),read,,,,1,,,0,,,,,
13549066,Essais sceptiques,Bertrand Russell,"Russell, Bertrand",,"=""2251200088""","=""9782251200088""",4,4.12,Belles Lettres,Paperback,262,2011,1928,,2020/01/06,,,read,,,,1,,,0,,,,,
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Barbara Mooyaart-Doubleday","=""""","=""""",4,4.16,Bantam,Mass Market Paperback,283,1993,1947,,2020/04/06,,,read,,,,1,,,0,,,,,
37554931,Testament politique,Armand Jean du Plessis de Richelieu,"Richelieu, Armand Jean du Plessis de",,"=""""","=""9782262072230""",4,4.14,Perrin,Paperback,352,2017,1689,,2020/01/06,,,read,,,,1,,,0,,,,,
5479,Brave New World / Brave New World Revisited,Aldous Huxley,"Huxley, Aldous",Christopher Hitchens,"=""0060776099""","=""9780060776091""",5,4.17,Harper Perennial Modern Classics,Paperback,340,2005,1958,,2020/04/06,,,read,,,,1,,,0,,,,,
15764704,The Search For Modern China,Jonathan D. Spence,"Spence, Jonathan D.",,"=""0393934519""","=""9780393934519""",3,4.17,W. W. Norton & Company,Paperback,730,2012,1990,,2020/01/06,,,read,,,,1,,,0,,,,,
6566616,"Crocodile Tears (Alex Rider, #8)",Anthony Horowitz,"Horowitz, Anthony",,"=""0399250565""","=""9780399250569""",4,4.19,Philomel Books,Hardcover,385,2009,2009,,2020/01/04,,,read,,,,1,,,0,,,,,
71296,"The Mansions of the Gods (Astérix, #17)",René Goscinny,"Goscinny, René",Albert Uderzo,"=""0752866397""","=""9780752866390""",3,4.20,Asterix,Paperback,48,2004,1971,,2020/01/04,childhood,childhood (#16),read,,,,1,,,0,,,,,
479650,"The Fall (Cherub, #7)",Robert Muchamore,"Muchamore, Robert",,"=""0340911700""","=""9780340911709""",5,4.22,Hodder Children's,Paperback,330,2007,2006,,2020/01/04,,,read,,,,1,,,0,,,,,
122438,"Asterix in Switzerland (Asterix, #16)",René Goscinny,"Goscinny, René",Albert Uderzo,"=""0752866354""","=""9780752866352""",3,4.24,Asterix,Paperback,48,2004,1970,,2020/01/04,childhood,childhood (#7),read,,,,1,,,0,,,,,
1166131,"The Recruit (Cherub, #1)",Robert Muchamore,"Muchamore, Robert",,"=""068987779X""","=""9780689877797""",4,4.24,Simon Pulse,Paperback,342,2005,2004,,2020/01/04,,,read,,,,1,,,0,,,,,
230200,Paroles,Jacques Prévert,"Prévert, Jacques",,"=""2070367622""","=""9782070367627""",4,4.26,Folio,Mass Market Paperback,254,1976,1949,,2020/04/06,,,read,,,,1,,,0,,,,,
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",5,4.26,Penguin Classics,Paperback,1276,2003,1844,,2020/04/06,,,read,,,,1,,,0,,,,,
128657,Histoires Inédites du Petit Nicolas,René Goscinny,"Goscinny, René",Jean-Jacques Sempé,"=""0785916512""","=""9780785916512""",5,4.26,French & European Pubns,Hardcover,635,2005,2004,,2020/01/04,childhood,childhood (#23),read,,,,1,,,0,,,,,
1303564,"Maximum Security (Cherub, #3)",Robert Muchamore,"Muchamore, Robert",,"=""0340884355""","=""9780340884355""",4,4.27,Hodder Children's Books,Paperback,277,2006,2005,,2020/01/04,,,read,,,,1,,,0,,,,,
2025787,"Mad Dogs (Cherub, #8)",Robert Muchamore,"Muchamore, Robert",,"=""0340911719""","=""9780340911716""",4,4.27,Hodder & Stoughton,Paperback,389,2007,2007,,2020/01/04,,,read,,,,1,,,0,,,,,
128659,Histoires inédites du Petit Nicolas Volume 2 Nhóc Nicolas,René Goscinny,"Goscinny, René",Jean-Jacques Sempé,"=""0785940324""","=""9780785940326""",4,4.28,French & European Pubns,Hardcover,372,2005,2006,,2020/01/04,childhood,childhood (#24),read,,,,1,,,0,,,,,
2638786,"The General (Cherub, #10)",Robert Muchamore,"Muchamore, Robert",,"=""0340931841""","=""9780340931844""",5,4.29,Hodder & Stoughton,Paperback,329,2008,2008,,2020/01/04,,,read,,,,1,,,0,,,,,
8435445,"Scorpia Rising (Alex Rider, #9)",Anthony Horowitz,"Horowitz, Anthony",,"=""""","=""""",4,4.29,Philomel Books,Hardcover,416,2011,2011,,2020/01/04,,,read,,,,1,,,0,,,,,
122410,"Asterix and Cleopatra (Asterix, #6)",René Goscinny,"Goscinny, René",Albert Uderzo,"=""0752866079""","=""9780752866079""",4,4.31,Asterix,Paperback,48,2004,1965,,2020/01/04,,,read,,,,1,,,0,,,,,
9413688,"Incendies (Le Sang des promesses, #2)",Wajdi Mouawad,"Mouawad, Wajdi",,"=""2742793127""","=""9782742793129""",4,4.40,Leméac,,170,2011,2003,,2020/01/06,childhood,childhood (#65),read,,,,1,,,0,,,,,
6181,If This Is a Man • The Truce,Primo Levi,"Levi, Primo","Stuart J. Woolf, Paul Bailey","=""0349100136""","=""9780349100135""",5,4.55,Abacus,Paperback,453,1987,1987,,2020/04/06,,,read,,,,1,,,0,,,,,
26359481,Un Hiver Blanc Frisson: L'Hotel Des Quatre Saisons,Paul Thiès,"Thiès, Paul",,"=""2700241037""","=""9782700241037""",4,4.67,Rageot Editeur,ebook,96,2007,2007,,2020/01/04,,,read,,,,1,,,0,,,,,
204180,Bobby Fischer Goes to War: How the Soviets Lost the Most Extraordinary Chess Match of All Time,David Edmonds,"Edmonds, David",John Eidinow,"=""0060510242""","=""9780060510244""",5,3.88,Ecco,Hardcover,368,2004,2003,2021/05/17,2021/02/25,,,read,,,,1,,,0,,,,,
37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",0,4.37,Houghton Mifflin Harcourt,Hardcover,415,2019,2019,,2021/05/03,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
54968118,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,"Isaacson, Walter",,"=""1982115858""","=""9781982115852""",5,4.37,Simon  Schuster,Hardcover,536,2021,2021,2021/04/28,2021/03/20,,,read,,,,1,,,0,,,,,
297764,"The Professor, the Banker, and the Suicide King: Inside the Richest Poker Game of All Time",Michael Craig,"Craig, Michael",,"=""0446694975""","=""9780446694971""",4,3.86,Grand Central Publishing,Paperback,288,2006,2005,2021/03/23,2021/02/02,,,read,,,,1,,,0,,,,,
52754076,Keep Sharp: Build a Better Brain at Any Age,Sanjay Gupta,"Gupta, Sanjay",,"=""""","=""""",4,4.13,Simon  Schuster,Hardcover,336,2020,2021,2021/03/18,2021/03/11,,,read,,,,1,,,0,,,,,
